team,stadium,city,state,conference,capacity,built,expanded,div,latitude,longitude,logo
Air Force,Falcon Stadium,Colorado Springs,CO,Mountain West,46692,1962,,fbs,38.99690743122685,-104.84368801116943,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\airForce.png"""
Akron,Summa Field at InfoCision Stadium,Akron,OH,MAC,30000,2009,,fbs,41.07256951528711,-81.50838375091553,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\akron.png"""
Alabama,Bryant–Denny Stadium,Tuscaloosa,AL,SEC,101821,1929,2010,fbs,33.2074899449518,-87.5503921508789,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\alabama.png"""
Appalachian State,Kidd Brewer Stadium,Boone,NC,Sun Belt,24050,1962,2009,fbs,36.21151530169309,-81.68550610542296,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\appalachianState.png"""
Arizona,Arizona Stadium,Tucson,AZ,Pac-12,51811,1928,1988,fbs,32.228340232071496,-110.94903945922852,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\arizona.png"""
Arizona State,Sun Devil Stadium Frank Kush Field,Tempe,AZ,Pac-12,71706,1958,1998,fbs,33.426364,-111.932616,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\arizonaState.png"""
Arkansas,Donald W. Reynolds Razorback Stadium,Fayetteville,AR,SEC,72000,1938,2006,fbs,36.067850785167344,-94.17879581451416,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\arkansas.png"""
Arkansas State,Centennial Bank Stadium,Jonesboro,AR,Sun Belt,30964,1974,2002,fbs,35.84899009532366,-90.66769494362913,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\arkansasState.png"""
Army,Michie Stadium,West Point,NY,Independent,38000,1924,2001,fbs,41.38708043477422,-73.96408081054688,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\army.png"""
Auburn,Jordan–Hare Stadium,Auburn,AL,SEC,87451,1939,2004,fbs,32.602361666817515,-85.48891067504883,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\auburn.png"""
BYU,LaVell Edwards Stadium,Provo,UT,Independent,63725,1964,1982,fbs,40.257487997463116,-111.65443897247314,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\byu.png"""
